game_id,pair_id,agent,opponent,agent_is_first,result,result_label,moves_agent,moves_total,complexity_total_ns,response_time_mean_ms,response_time_min_ms,response_time_max_ms,available_actions_mean,available_actions_min,available_actions_max,random_seed
19,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,4,9,82500,0.020625,0.0196,0.0215,7.0,7,7,8748548043264407070
19,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,5,9,564900,0.11298,0.0975,0.1497,7.0,7,7,8748548043264407070
20,Random_vs_RandomBeater1,Random,RandomBeater1,0,1,win,12,24,257700,0.021475,0.0197,0.0279,6.833333333333333,6,7,8545537387738973060
20,Random_vs_RandomBeater1,RandomBeater1,Random,1,-1,loss,12,24,1752600,0.14605,0.0987,0.2144,6.916666666666667,6,7,8545537387738973060
21,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,5,10,112800,0.02256,0.0197,0.03,7.0,7,7,7212916678732282628
21,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,5,10,604600,0.12092,0.1026,0.1374,7.0,7,7,7212916678732282628
22,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,11,22,248700,0.02260909090909091,0.02,0.0259,7.0,7,7,2563248391044284949
22,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,11,22,1728500,0.15713636363636366,0.1062,0.2152,7.0,7,7,2563248391044284949
23,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,7,14,146800,0.02097142857142857,0.019,0.0237,7.0,7,7,7420954381010555984
23,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,7,14,883800,0.12625714285714285,0.099,0.1501,7.0,7,7,7420954381010555984
24,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,8,16,165000,0.020625,0.0194,0.0263,7.0,7,7,7065199731516708504
24,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,8,16,1008100,0.1260125,0.0955,0.1485,7.0,7,7,7065199731516708504
25,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,8,17,167700,0.0209625,0.0196,0.0225,7.0,7,7,7852961588815132161
25,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,9,17,1336900,0.14854444444444445,0.1016,0.2299,6.888888888888889,6,7,7852961588815132161
26,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,12,24,258000,0.0215,0.0196,0.0276,6.75,6,7,7858549659799309491
26,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,12,24,2031100,0.16925833333333334,0.1025,0.2508,6.583333333333333,5,7,7858549659799309491
27,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,8,17,190500,0.0238125,0.0197,0.0362,6.875,6,7,4216028948495984657
27,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,9,17,1118200,0.12424444444444444,0.0971,0.1629,6.777777777777778,6,7,4216028948495984657
28,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,9,19,227200,0.025244444444444444,0.0193,0.0451,6.777777777777778,6,7,2777917494105233445
28,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,10,19,1599200,0.15992,0.0982,0.2117,6.7,5,7,2777917494105233445
29,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,13,27,290400,0.02233846153846154,0.02,0.0306,7.0,7,7,4554335677268091886
29,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,14,27,2453100,0.17522142857142858,0.0981,0.3078,7.0,7,7,4554335677268091886
30,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,7,14,154000,0.022,0.0196,0.0276,7.0,7,7,5192563109867059239
30,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,7,14,918000,0.13114285714285712,0.0923,0.1675,7.0,7,7,5192563109867059239
31,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,7,14,141800,0.02025714285714286,0.0193,0.0221,7.0,7,7,2341087960537721812
31,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,7,14,822100,0.11744285714285714,0.0821,0.1501,7.0,7,7,2341087960537721812
32,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,7,15,144200,0.0206,0.0197,0.0216,7.0,7,7,9071439676058476281
32,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,8,15,930700,0.1163375,0.0961,0.1392,7.0,7,7,9071439676058476281
33,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,7,15,144600,0.02065714285714286,0.0199,0.0214,7.0,7,7,8944430372439670945
33,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,8,15,1005200,0.12565,0.0959,0.1537,7.0,7,7,8944430372439670945
34,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,6,12,123400,0.020566666666666667,0.02,0.0227,7.0,7,7,2079446633925774455
34,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,6,12,674100,0.11235,0.0988,0.1343,7.0,7,7,2079446633925774455
35,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,11,23,238100,0.021645454545454544,0.0194,0.0335,7.0,7,7,2977330164728140857
35,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,12,23,1872500,0.15604166666666666,0.1031,0.2434,7.0,7,7,2977330164728140857
36,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,10,20,226700,0.02267,0.0196,0.0389,6.6,6,7,3039719367355761171
36,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,10,20,1707600,0.17076,0.1056,0.236,6.5,6,7,3039719367355761171
37,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,8,17,177700,0.0222125,0.0205,0.0269,7.0,7,7,6949135983289863582
37,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,9,17,1305000,0.145,0.1079,0.1975,7.0,7,7,6949135983289863582
